followpa,readnews,tvnews,internet,contact,attend,contrib,workpol,joinint,regist,vote,union,profsoc,relorg,fratgrp,servgrp,polgrp,vetgrp,collgrp,neihgrp,schlgrp,ythgrp,sprtgrp,feegrps,board,attnrel,trustoff,obggrps,oppsucc,incdiff,haves,ineqinc,ineqfut,curinc,achieve,hardwork,classdiv,afirmact,upmobil,dwnmobil,gvtdomor,govtprog,headst,medicaid,fdstamp,welfare1,pubhous,schaid,collgrnt,socsec,medicare,medaid2,welfare2,eitc,collgrt2,stuloans,vetben,unemploy,govtpen,wrkcomp,fdstmp2,pubhou2,busloan,gibill,mtgdedt,headst2,wic,disabity,ptyid,politics,pres,longlive,worksit,healthin,maritial,children,race,econsit,feconsit,parents,coecosit,educ,agerec,courtnew,partback,judgelec,votejude,stjudele,goodjudg,coconfli,viewjudg,judgshie,judbckgr,ampeople,corctdec,judgacct,persbelf,mediacov,income,sexrec,tzone,agegrp,allwt,socsecsf,medcrsf,medcdsf,welfself,EITCself,colgself,stulnsel,vetbself,unempsel,govpensf,wkcmpsef,fdstpsel,pubhsslf,buslnsf,gibilsef,mtgdself,hdstrtsf,wicself,disblsef,soccitzn,soccit2,grntloan,votealwy,votescal,meantest,nonmeans,educrcd,incomercd,follorcd,trustofrd,gvtdomor2,govtprog2,unionrcd,nonmean2,meantst2,govprogr,sexrd,agerd,ptyidrd,polorit,oppsucrd,incdiffrd,havercd,ineqinrd,upmobrd,dwnmobrd,healthrcd,college,partyrd,partyrd2,govprord,income2,meantst3,over50,income4rcd
3,4,4,5,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,1,3,2,2,2,1,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1,4,4,2,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,1,3,3,1,1,1,1,2,2,2,1,2,2,1,NA,1,2,NA,2,2,3,1,4,4,4,4,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NA,NA,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,4,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA
1,1,1,5,1,0,0,0,0,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,3,1,NA,NA,NA,1,NA,3,1,1,1,NA,NA,1,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,4,1,3,2,0,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,0,NA,NA,NA,NA
1,2,3,5,0,1,1,0,0,1,3,1,2,1,2,1,2,1,2,2,1,2,1,1,2,5,NA,2,1,3,2,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
4,3,1,5,0,0,0,0,0,4,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,2,2,2,2,2,3,2,1,1,2,2,2,2,2,1,1,1,1,1,1,4,4,2,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,2,0,0,NA,3,0,NA,NA,1,0,2,2,0,0,3,2,2,NA,NA,NA,1,2,2,2,2,2,1,3,NA,NA,0,NA,3,NA,NA
1,2,1,4,1,0,0,0,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,3,1,2,1,2,3,1,1,2,2,2,NA,3,NA,2,1,NA,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,1,63,4,3,2,1,2,2,2,1,2,2,NA,NA,2,2,1,3,3,3,2,1,1,2,1,1,1,1,2,2,C,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,2,2,4,0,NA,3,0,1,0,1,2,NA,NA,3,2,3,1,2,2,2,1,2,NA,NA,0,2,0,NA,2
4,1,1,4,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,3,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,5,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,3,3,1,3,3,1,2,NA,1,1,2,1,2,1,1,2,1,2,3,1,1,3,4,NA,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NA,NA,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,NA,NA,NA,NA,4,0,2,1,0,NA,NA,3,NA,NA,NA,NA,3,3,1,3,2,1,1,3,NA,NA,1,NA,NA,NA,NA
1,2,1,5,0,1,0,0,0,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,NA,3,1,1,3,1,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,4,0,3,2,0,NA,NA,2,NA,NA,NA,NA,2,1,NA,3,2,2,1,NA,NA,NA,0,NA,NA,NA,NA
2,1,1,5,1,1,0,0,0,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,3,0,NA,NA,0,NA,NA,NA,2,NA,NA,NA,2,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
4,5,3,2,0,0,0,0,0,3,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,3,2,3,1,1,NA,2,3,1,1,2,1,NA,NA,3,NA,1,NA,1,1,NA,1,2,4,4,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,NA,1,2,4,2,2,2,2,2,NA,1,NA,4,NA,3,2,NA,NA,NA,2,3,2,NA,NA,2,2,2,NA,NA,7,2,E,NA,NA,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,NA,NA,1,1,4,7,1,0,NA,3,0,2,1,1,2,NA,NA,NA,2,3,1,1,1,NA,1,3,NA,NA,0,5,0,NA,4
4,2,1,5,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1,NA,3,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,5,1,1,1,0,0,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,3,3,1,2,1,2,2,3,3,1,3,2,2,3,3,2,1,1,4,4,4,4,4,4,4,4,4,NA,4,4,4,1,4,4,4,4,3,1,50,4,4,4,2,2,1,1,1,1,1,1,1,2,2,1,1,2,NA,1,1,1,1,1,2,2,1,4,1,E,NA,NA,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,NA,NA,0,1,3,NA,3,1,4,4,0,1,3,0,3,NA,1,1,NA,NA,3,1,2,2,2,2,2,1,2,NA,NA,0,4,NA,NA,3
1,1,1,1,0,0,0,0,0,1,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,3,1,NA,2,NA,NA,1,NA,3,3,1,1,1,2,2,2,3,2,2,3,2,NA,3,1,2,2,2,4,NA,4,2,4,4,1,4,4,4,4,4,3,4,4,4,2,3,1,30,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,0,0,2,NA,2,NA,NA,4,1,2,3,0,2,NA,1,NA,NA,2,3,2,NA,NA,1,2,2,1,3,2,NA,0,NA,0,NA,NA
1,2,1,5,1,0,1,0,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,4,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,1,0,0,0,1,0,1,1,2,1,1,2,2,1,2,NA,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,NA,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,1,1,NA,31,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,4,1,3,1,0,0,0,3,NA,NA,1,1,2,1,1,1,2,2,1,3,1,1,1,NA,0,NA,NA
1,2,1,1,0,0,0,1,0,1,1,2,1,1,2,2,1,2,NA,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,NA,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,1,1,NA,35,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,4,1,3,1,0,0,0,3,NA,NA,1,1,2,1,1,1,2,2,1,3,1,1,1,NA,0,NA,NA
3,2,1,1,0,0,0,1,0,1,1,NA,2,1,2,2,2,2,2,1,2,1,1,1,2,5,2,2,3,NA,1,3,2,1,2,2,1,2,3,3,1,3,1,1,3,3,1,1,3,4,2,2,2,2,4,4,4,3,4,1,2,2,4,4,3,2,2,4,2,NA,2,8,7,4,1,1,1,1,1,1,1,1,37,1,2,2,1,1,2,3,3,NA,1,1,1,1,1,1,4,1,C,2,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,2,0,1,3,0,3,1,4,2,0,3,3,NA,3,0,1,1,37,2,NA,3,NA,1,3,3,3,1,1,2,NA,0,4,0,0,3
1,4,1,1,0,0,0,0,0,3,NA,2,2,2,2,2,2,1,2,2,2,2,2,1,NA,1,1,2,2,1,1,2,2,3,1,1,1,1,2,2,1,1,2,3,2,2,1,1,1,2,2,4,4,4,1,1,1,3,2,4,4,4,4,1,2,4,4,1,2,2,1,7,1,3,4,1,2,1,1,2,1,3,48,3,1,2,1,1,2,3,1,1,1,2,2,2,2,2,3,1,P,3,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,6,3,1,NA,NA,1,3,3,3,4,1,3,1,0,4,0,3,1,48,2,2,2,1,1,2,2,2,1,3,2,NA,1,3,0,0,3
1,1,1,4,1,1,1,1,0,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,3,1,1,1,NA,2,3,2,2,2,1,2,2,2,NA,2,1,1,1,1,1,NA,1,1,2,4,4,1,1,1,2,2,4,4,4,1,4,4,4,1,1,1,2,4,2,1,21,1,2,2,1,2,1,1,3,1,1,49,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,6,2,P,3,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,7,3,1,1,3,6,1,1,6,4,1,2,1,1,1,5,3,2,49,NA,2,1,NA,2,3,2,NA,1,3,NA,NA,1,5,4,0,4
3,5,1,4,0,1,1,0,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,NA,1,1,3,2,2,2,3,2,1,1,2,1,1,1,2,1,3,2,2,1,1,1,2,2,4,4,1,2,3,2,2,2,4,4,4,4,2,3,4,2,4,2,2,1,22,2,1,2,1,2,1,1,3,2,4,46,2,1,3,1,2,1,NA,1,1,1,2,NA,2,2,2,2,2,E,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,3,1,1,4,2,2,NA,3,2,0,2,1,2,2,46,2,2,1,3,2,2,1,1,0,3,2,NA,0,2,0,0,2
3,2,2,2,1,1,1,1,0,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,2,NA,1,1,2,1,2,1,2,3,1,2,2,1,2,2,3,1,2,3,3,3,2,1,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,2,3,1,25,1,2,4,1,2,1,1,1,1,4,48,2,2,1,1,2,1,3,1,NA,1,2,1,2,2,1,6,2,E,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,0,1,4,6,2,NA,2,3,0,1,0,1,2,48,2,3,1,2,1,2,1,2,1,3,2,NA,0,5,0,0,4
